Geneid,Int._Ctrl_#1_1,PD_126_R10_S1_1,PD_126_R11_S1_1,PD_126_R12_S1_1,PD_126_R13_S1_1,PD_126_R14_S1_1,PD_126_R15_S1_1,PD_126_R16_S1_1,PD_126_R5_S1_1,PD_126_R6_S1_1,PD_126_R7_S1_1,PD_126_R8_S1_1,PD_126_R9_S1_1,PD_131_R10_S1_1,PD_131_R10_S2_1,PD_131_R11_S1_1,PD_131_R11_S2_1,PD_131_R12_S1_1,PD_131_R12_S2_1,PD_131_R13_S1_1,PD_131_R13_S2_1,PD_131_R14_S1_1,PD_131_R15_S1_1
b3946,2.4943829112651423,3.627592097109292,3.6026762331238213,3.4497831225495434,3.537611192513171,3.7494411807491748,3.7957922796490413,3.8576785901192614,3.102615517540108,3.6331203683397892,3.485639833004644,3.6188480630876807,3.8484220690622974,2.666859174376305,2.6369981681313037,1.7552061251810587,1.964917732175087,1.4921592361036975,1.4740611963894794,1.8718005591711782,1.687586071767646,2.645014382894749,2.939399586117117
b3947,0.8078147428145616,1.9879043015951194,1.8154597137448036,1.7899221866488566,1.844984995946283,1.9341022687622333,1.7247726265918326,2.0190392157348755,1.799873200339187,1.6538072929297982,1.8369381748153444,2.155019645627607,2.3252798928612446,1.4710609436899158,1.1870853042790976,0.9803410350525985,0.7234408345080117,0.3788229705937964,0.7712383911079914,0.7696356194248416,0.7202281869838558,0.6950107669284129,1.1338273142439408
b3949,0.63529201949239,1.7331663440731577,1.4387964982694443,1.2621895723855387,1.0128946815255853,1.2677200953957095,1.5743376621091283,1.5458903571868063,1.3707955644839787,0.857521193083818,1.2098544412292547,1.6978777250982726,1.6900120182434415,0.8648463383734808,1.402420286447719,1.373525460995752,1.2456710142144356,0.9810562288167594,1.6071927253921852,1.1535835680731723,1.6065985638481115,0.779796318411661,0.9972061131228479
b3950,2.393594429823557,2.1376421188367214,2.4334922237142376,2.0089882459766013,2.253199158460793,2.339108584663382,2.319891470728467,2.1373795884839923,1.7375682636017522,2.4433454445316394,2.137011897015743,2.8554971653690018,2.1962345839737596,1.3419013742963344,1.683355768795086,2.043547955689923,1.7254532260882025,1.522258567554276,2.3593588968132155,1.9056961105419532,1.7197652302330266,1.9312877140277458,1.9924356891899289
b3951,2.4869622629455153,3.0474345160260006,2.738984039670204,2.645799636024463,2.813114240954352,3.0159475998076184,2.9522623112623374,2.6917892228142604,3.1111587785671113,2.895147878907861,2.925749185869092,2.711231313067261,2.5751236094147423,2.330756006741002,2.2929302093685795,1.6694418931756476,1.6146169805946062,2.002819000502793,1.5790861135108907,1.9788316088985574,1.8589443087647959,2.5843924650102506,2.5194339598811952
b3952,2.168618789796258,2.384628654670251,2.479061617993865,2.7589317621274883,2.5552886284458043,2.3787256477445995,2.580651550055069,2.7465064535041535,2.6125128457935882,2.697487230417607,2.6060802344582394,1.9989882615746888,2.464649835938617,2.0877860385110503,2.3037928605149216,1.7139846204334312,1.818559715306094,1.762657519505281,2.0062943183517903,1.5879725098960291,1.0037557597428575,2.2680991495714475,2.5596530612891693
b3953,2.641854842360031,3.114350296884001,3.054835467991426,2.8697630647324064,3.0129467306992943,2.8779427936406776,2.91811711315043,3.2166520654071697,3.1920928827925765,2.8894567821276427,2.88355082664452,2.2319217832467455,2.7673382321627384,2.9845731358350274,2.8008081359473054,2.778563478150102,2.6314443745723155,2.9241699425499563,3.199489826826359,3.385914208306991,3.056605787345829,2.961914970334223,3.2836236789701205
b3954,3.8504985115575865,4.809011176529763,4.803159775081238,5.073451973473762,5.0216994633081296,4.775354517379672,4.874432088291018,5.0056019755268615,4.938106441301507,5.084673124499476,4.89769905197843,5.0296250029025185,5.149051632344924,5.230616735742255,3.626867924540337,1.8159842041473426,1.542048954758238,1.5558071927459274,1.6997116912124226,1.6970316265470005,2.039561724072915,3.679594284557459,3.753466282029152
b3955,6.043937014332866,6.218422485321607,5.978605943794079,6.059736390455988,6.197810340510043,6.1903332756083325,6.091777313074977,6.165931066221911,6.072811420087146,6.049516122044979,6.071415935582433,6.24897848224256,6.33685076708935,5.0760533994438815,4.119157043119195,5.250891295504566,5.214435206481561,5.110013486132833,5.163559380137703,5.12867774144084,5.274547759894964,4.860734053387171,4.590583166820498
b3956,8.267370348391212,7.663638047865507,7.469565861658402,7.4495469703529515,7.522781035657415,7.6213927724912445,7.648515433914244,7.711962566197484,7.482478969338745,7.519446701897001,7.489394278822171,7.6256897075135,7.5319413807124365,7.984426981945814,6.914884056978831,7.577063563699928,7.745536571141589,7.6535416336745925,7.667116491259233,7.78859406726913,7.769343136900611,8.934656710409298,9.055321036062141
