Geneid,PD_131_R10_S1_1,PD_131_R10_S2_1,PD_131_R11_S1_1,PD_131_R11_S2_1,PD_131_R12_S1_1,PD_131_R12_S2_1,PD_131_R13_S1_1,PD_131_R13_S2_1,PD_131_R14_S1_1,PD_131_R15_S1_1,PD_131_R16_S1_1,PD_131_R5_S1_1,PD_131_R6_S1_1,PD_131_R7_S1_1,PD_131_R8_S1_1,PD_131_R8_S2_1,PD_131_R9_S1_1,PD_131_R9_S2_1
b0879,-0.22241647847751,0.020314582771592704,0.3238085015789993,0.31960805938109793,0.4174622185819521,0.2991645012730686,0.3533173199581041,0.30210589317773984,0.8625585160748601,0.6456916949868914,0.7556286390886306,0.043832972765597944,0.025270063509105434,-0.06910303627470515,-0.3408800434866093,0.29071701716696463,-0.43903674678528937,0.22370525981300293
b0880,-0.3653477787397019,0.07654063550106116,-8.242861021393665,-8.195123203158252,-8.260488605071071,-8.236009402200475,-7.989725095429387,-8.122093977353774,-3.9440800820098936,-3.9742166163956707,-3.7574377612017216,-0.0021441667017363386,-0.035662945499991494,0.037807112201726056,-0.1606901535978782,0.016078235620746284,-0.06896294610630171,0.020221840801060154
b0881,-0.2781361180062305,-0.0822383510161373,-0.18208701402639704,-0.42236107250325183,-0.2147939869040627,-0.23795404287426258,-0.15089040025261014,-0.4609051086847149,0.7273319447696505,0.44807047422085056,0.7307653360592994,0.030722974115205304,-0.02781477284339573,-0.0029082012718131267,0.0247376118953202,0.002722089837181585,-0.006403554400378653,-0.004751341749617666
b0882,0.15108456362045963,0.023535124361345083,-0.05851633503263187,0.024029379326206524,-0.012569459310041609,-0.05995596537757564,0.06614650076609507,0.0005584696655027699,0.3870562876022614,0.5541754641150654,0.1465630488823173,0.01757605467737733,0.011230955914088625,-0.028807010591471283,-0.050538806645963774,0.2120804153154996,-0.04776430890530037,0.13841578275587452
b0884,0.6442196469889367,-0.4904302606623947,2.6051109286758294,2.678935648945094,2.663716492627618,2.787581872678645,2.6182298191892954,2.5258484858112453,1.397829669985029,0.9291932527619018,1.5266659152678645,-0.05211253644714908,0.1786293663313696,-0.1265168298842223,0.48614720578654946,-0.7580092032031054,0.5804870586466748,-0.5723615753324225
b0885,0.06609584360418808,-0.22821881222449658,-3.397039816880064,-3.0133499882481014,-2.9724569615675556,-3.1092110867689877,-3.0675580087748826,-3.333235323362536,-0.9311026485338401,-1.0846510119334507,-1.2662629065983504,0.1506040846423291,-0.08857558663185117,-0.06202849801047794,0.2856524263660347,-0.3270413211854075,0.3738241328525067,-0.18629167571869232
b0886,-0.436461138276087,-0.03174045931383418,-2.0289815288062276,-1.9605975162414184,-2.110967212667396,-2.192232089189564,-2.1121732810038383,-1.827877718071266,0.24414722184856252,0.16146288544316523,0.022197738885031626,0.08574895868726173,-0.05681873340286714,-0.02893022528439282,-0.5944871239279621,0.1623568219618825,-0.6028137873071815,0.1864047318953599
b0887,0.6552820069280614,-0.5136538837989804,-1.419920521350981,-1.4629873068962964,-1.3334942950812763,-1.4952580141596918,-1.3389646074050354,-1.8642023361090483,0.6293024420100686,0.5060490684244856,0.40689196652989335,-0.039174659173646376,-0.06809549765844025,0.10727015683208574,0.5324194422333521,-0.49422914968135334,0.4648329195908101,-0.6363029938173987
b0888,0.7154276077180262,-0.46294981164134974,-3.6010421474638226,-3.5975320976714724,-3.7758432300605147,-3.9031713200741516,-3.5659696003935415,-3.5631682017227857,-0.7710890061316613,-0.6849675305397804,-0.9577685370439575,0.03978841501881014,0.047056871368133635,-0.08684528638694555,0.5556061750542343,-0.3614559942077946,0.6848502110370207,-0.3642108357135392
b0889,-0.40648479086522826,-0.2668426687219032,-4.905827687252155,-5.337598535233849,-5.030410059704871,-5.003939694206599,-4.810716239719258,-4.96575416538362,-2.335643505541058,-2.6796719274255567,-2.529771692806311,0.01135152076949808,-0.019846689695564024,0.008495168926069496,-0.32116333732457747,-0.017077884631385487,-0.3788870693494424,-0.11892829154176354
b0890,-0.12960774883089332,-0.010228765491057779,-1.0288112960315283,-0.9366839062653147,-0.7552890819623839,-0.7523326578633744,-0.9743542615253009,-0.8936446214557963,-0.2285223662052731,-0.47950485458904435,-0.3181593118514652,0.04909260713420682,-0.01893051731705242,-0.030162089817154403,-0.2227989532038821,0.1621731552834822,-0.26979912282777985,0.11714346476872439
b0891,-0.4004008352210384,0.4136010149183553,-0.5124864454561697,-0.39404961623794854,-0.26619670217115665,-0.2989089033060992,-0.35809389169281225,-0.33476844604389555,-0.012987293874796357,-0.04274150697943746,-0.006732916943347433,0.09760236465283789,-0.07104812706415142,-0.026554237588687357,-0.36611165662059175,0.6251667807703374,-0.7033292901604238,0.6427671512769217
b0892,-0.14225377729554456,0.36022189143664907,0.49748443189601144,0.44667719258810745,0.5707011163734368,0.5711798346904571,0.637847451742255,0.5911292267774817,0.32096063509650286,0.6140891066507876,0.6272812927694424,0.03432462248118995,0.006419012749109498,-0.040743635230300335,-0.13976678486327287,0.38190244732995193,-0.21122315063764852,0.35760059617180406
b0893,0.4714072290917368,-0.2662268798346954,0.7514132064091985,0.683729258141895,0.5761263081794876,0.6153780252540031,0.7741892463312681,0.7688106019091894,0.978895745025337,1.2531137990524304,1.1068122555992357,0.06488744006655978,-0.060618425783742325,-0.004269014282819228,0.460420411124316,-0.19329338898779724,0.39733704505654366,-0.17543219395471255
b0894,0.4639959958232365,-0.0741547269789895,1.3081469840899778,1.3527868737080029,1.3146699483327375,1.3600632983585856,1.4828193135042445,1.5720769219605324,0.8192464868966582,1.151469894413276,0.6342345912009955,0.031708585281107204,-0.021339086690178366,-0.010369498590928394,0.27552774107735134,-0.006241373547176465,0.3626786162520541,0.02481465935685767
b0895,0.15523851400502853,0.6148481096068705,1.744497381196311,1.580479737727857,1.401943905500484,1.3990649596530602,1.7621131278846631,1.6720719656701197,0.6680677404537638,0.924328342765325,-0.022765739334423607,-0.17605920360885996,0.28121643439728894,-0.10515723078842854,0.05613614138819445,0.5037845769845046,-0.06400922923349839,0.2815026185645553
b0896,-0.17606038927989776,0.13010220757542168,-0.2563565720794809,-0.4476330551008001,-0.5633277620205446,-0.5685469378334984,-0.45833206545131233,-0.3498776330201059,-0.5145161655069543,-0.4819215302569919,-0.9389399753927385,0.012423731684346961,-0.02959697434064612,0.017173242656300047,-0.03306418009941492,0.30498831290964645,-0.019589035453875248,0.37244570925130294
b0897,0.3193939602279041,0.2875172885181705,-7.660435219574461,-7.073802168738997,-7.375841167944449,-7.471189856501095,-7.202046891085706,-7.398843804631115,-2.9023087124947153,-2.8571978063426204,-3.425146318586682,0.06868865928920087,-0.17907008070641517,0.11038142141721607,0.35527975359514485,0.271095704422061,0.2479193719963,0.3780905290173173
