"","loadings.PC1","loadings.PC2","loadings.PC3","loadings.PC4","loadings.PC5","loadings.PC6","loadings.PC7","loadings.PC8","loadings.PC9","loadings.PC10","loadings.PC11","loadings.PC12","loadings.PC13","loadings.PC14","loadings.PC15","loadings.PC16","loadings.PC17","loadings.PC18"
"b0795",-0.0049923210972255,-0.0357845928466683,-0.012437399740319,-0.00259858673372515,-0.0102627500589893,-0.00994822444211573,-0.00353403460618282,0.00349608197232112,0.0053075528484287,0.00344936334988059,0.000347819708920799,-0.00512250705047721,-0.00725014175870878,-0.00168378606756403,0.00837195511789855,0.00151788507786513,0.00135257510123894,0.0991332170452277
"b0957",-0.0168423645755808,-0.0183884273623679,-0.00723768032316463,0.00385388473832245,-0.00536197435051056,0.00656842412009752,-0.00450214602340135,0.00210093746596935,0.0046969085828532,0.0123220818057636,0.00507051602762657,0.0045479140490079,-0.00709005799354362,-0.00226081548016879,0.00554524939646973,-0.00276662385698775,0.00283087961501726,-0.0381577747531832
"b1561",0.0187771284895853,-0.00995339627886474,-0.00186702735831398,0.00370652322957261,0.00248143280652652,0.000764169207484697,-0.00195594379991847,-0.00455120800712634,-0.000899170649876217,-0.00293871706118267,-0.0124778480422464,0.00243941270866204,-0.000114149282872892,0.00748860479403221,-0.00500514942605538,-0.00331855483295755,-0.00868117530015752,-0.142938575206996
"b1637",-0.0193903897295679,-0.00013503882033022,0.00692788731480944,0.00055504559696105,-0.00672248079039795,-0.00143505874097635,-0.0044128198825321,9.32788568310222e-05,-0.00316324289646243,0.00352625561931813,-0.000334875977562544,0.00194810124466218,0.00232367921861062,-0.000417826500084621,0.00112608207418567,0.00133869298779008,0.000552155364901747,-0.0975185516360543
"b1793",-0.018816517837891,0.00158172475723147,0.00727213714977102,-0.00131035392690306,-0.0161167798815615,-0.0276592555193738,0.0162148786114349,-0.00209003461169568,-0.0172013068073197,0.0112916950724336,-0.00318329987221203,-0.00823904315225094,0.000125594875008754,-0.00336556394026591,-0.0115197107862166,0.00235125510036281,0.00867167294984071,0.0172635671936817
"b4496",0.0187829823193876,0.0104390195206681,-0.00106507240069877,-0.000904251110196571,-0.00057980962478341,0.000679651307537252,-0.00117452308676492,-0.000459085302740718,-0.00155920794855086,-0.00048391525571603,0.00118935148564693,-0.00387032953268006,0.00469864537262956,0.00108988893892827,0.00346790341132408,0.00192747869621378,-0.00271445313367412,-0.0480927637457946
"b2131",-0.0194225924490795,-0.00270220647768519,-0.00483333393369742,-0.000733970304719065,0.00322283122715053,0.000903983634847673,-0.000810347573008435,-0.00361351916982304,-0.00164845741231871,0.00221899998843161,0.00220013372527173,0.00145499512000488,0.00180990739049267,0.00103700186952368,0.000671262395494976,-0.00294886471272457,0.00158785662729865,-0.0207925784983639
"b3001",-0.0189072852617316,0.00938889083015805,0.00225000876578056,-0.00237602203959983,-0.000454099876618659,0.000268321668386139,-0.00200817839079468,0.00621190584970423,0.0030621456584068,0.000496823487227499,0.00305703804821715,-0.00170244420266368,0.00252308557391491,-0.000671668311147947,0.00292039403857495,-4.65172096077256e-06,0.00226236816122367,-0.000346700624912246
"b4014",-0.00458021999807911,-0.035583770441035,-0.00117809707729214,-0.0283721115770511,-0.00452350348212848,0.0165170658396633,-0.00298170566783728,-0.00901093587741038,0.0126719275743123,0.0117487779920124,0.0149108167896213,0.0146800070135742,0.00602487538792969,0.0143734282766162,0.00143021551368124,-0.0151963716059484,0.000893744386593696,0.0031398688634888
"b4201",-0.0195064047912549,-0.000767906961333232,-0.00102026248512628,-0.00193709222856937,-0.00347428421629901,-0.000960471660748045,-0.000437124533514498,0.00260219799278791,-0.00463921979936609,-0.00501837106963992,-0.00116030274550703,-0.00667284941911806,-0.00450093342840114,-0.00249520791886985,-0.00108691426936053,-0.00105770521135541,-0.00145703523087828,-0.000850019565521777
