Geneid,PD_131_R16_S1_1,PD_131_R5_S1_1,PD_131_R6_S1_1,PD_131_R7_S1_1,PD_131_R8_S1_1,PD_131_R8_S2_1,PD_131_R9_S1_1,PD_131_R9_S2_1,PD_132_R10_S1_1,PD_132_R10_S2_1,PD_132_R11_S1_1,PD_132_R11_S2_1,PD_132_R12_S1_1,PD_132_R12_S2_1,PD_132_R13_S1_1,PD_132_R13_S2_1,PD_132_R5_S1_1,PD_132_R6_S1_1,PD_132_R7_S1_1,PD_132_R8_S1_1,PD_132_R8_S2_1,PD_132_R9_S1_1,PD_132_R9_S2_1
b3884,5.055387382502952,5.775017588448323,5.7608950724892765,5.696140814971699,5.78347390402573,5.7559561539990485,5.815692578842938,5.633731277133419,6.107113992112221,5.710321718661608,4.3823794872963,4.307960040451036,4.305594921936668,4.167915190670847,4.292265031920236,4.030800790513544,6.2209474420134185,6.040330467266645,6.307571506814465,6.349401774675648,6.168430360015635,6.2707043056390965,6.00192839181276
b3885,6.029705094737377,7.482781387918214,7.296546526541687,7.297165943316742,7.316839618176142,7.391097660823813,7.253970433720542,7.258653432607426,7.255980951672595,7.489711947877736,5.212568641852837,5.230032014217438,4.997390230747011,4.701372751849117,4.48761425429723,5.003025801872992,7.594894693840219,7.618496661579526,7.646079350291552,7.769526345403779,7.744809529663242,7.598917861778478,7.595172599895357
b3886,6.299681378355387,6.559762870205562,6.3041675530092025,6.532261682319665,6.28986973582109,6.550799525421286,6.4005676492569,6.555179862361849,6.433519661410251,6.33884999858174,5.845857243825863,5.758481170852518,5.630239906831787,5.361719672617862,6.013736380112671,5.952241501936635,6.3471092691229645,6.50868632653778,6.6065806093907256,6.55277914905863,6.806289375147975,6.246784894022407,6.377907046806386
b3887,6.370281150324018,7.308775980127111,7.245487177164058,7.42809652435244,6.86785850551155,7.004977690771472,7.05626608900592,7.042728551857396,6.886437025989122,7.199825172038682,5.3248085289178535,5.383111686899422,5.576941242693803,6.1966654482838734,5.800107782924924,5.67434723810091,7.336267915249411,7.503338871428676,7.318550958754754,7.191140097275845,7.4051747099935925,6.92261771926375,7.196057942247283
b3888,5.274335560382106,6.170722891414183,6.062424041052207,6.040102328098895,6.080008853746348,5.9266004421738305,5.9047592392156965,5.837059911197807,5.978820358827117,6.049084110506271,5.327564130108558,5.10718345911267,5.529793569417148,5.573138711840618,5.443397686717431,5.313418496635016,6.120122116152472,6.1346438261000715,6.140118381709154,6.093678827207373,6.1551363381375666,5.845596881480867,6.174706666064937
b3889,0.0,0.8978419946402418,0.9002115993702154,0.5279253442163542,1.2162334853248602,0.0,0.8892384442169312,0.5193109310545506,0.0,0.0,6.7988718014629885,7.011423422679134,6.594569413511603,7.307304553628256,7.071054144941784,7.062641565579213,0.0,0.0,1.123914282523227,0.6834576117398654,0.6354098695640734,0.0,1.405266031974154
b3890,5.018410477910661,5.560265806188053,5.8187928161545655,6.072065885397656,5.7996122248459425,4.549825649336326,5.849778552981576,4.9289574753181595,5.14350136574334,4.3129945866992685,6.967356398420058,6.875037681986246,7.503145599837467,7.352823568096915,6.787103271930335,6.548833816061979,5.463880650572388,5.343710123423604,5.460977679330951,5.07566703388779,3.994691321421651,5.151063638561857,4.082115522218404
b3891,7.332050348561308,6.140050850870996,6.147166071859879,6.204192298162196,6.498889919868162,5.8419098120791135,6.398864924083206,5.881469541666575,7.011700178471418,6.567887341034007,5.571519536555936,5.858067324390248,5.677019111962041,5.760269930698625,5.320877748096792,5.339749544937721,6.594543648553444,6.7335138906283944,6.7905227811192015,6.847490694117304,6.483521280463942,6.967764448031879,6.582835658040212
b3892,6.879867531288925,5.561448105903874,5.552762012492453,5.47619720610871,5.6587556738451665,5.9935198819619355,5.698018662334419,6.099801604504483,7.038141695543895,7.097244333014598,7.47184746286173,7.642178406120343,7.417050577364757,7.290850923676185,6.9453688010975485,6.987034930160813,6.732606700225449,6.624047316797473,6.901865985058489,6.841999071978091,7.032930815984773,6.83362008410604,7.014583452706271
b3893,6.5755825155022345,5.121538899618124,4.870840881691583,5.069394675407457,4.967022792355386,5.836831253948067,5.072762966494074,6.012853165753568,6.787408310553206,7.189981248466722,7.894493389731633,8.019816042888491,7.883359525174628,7.38564432228738,7.43626971851553,7.649241616179769,6.613087571172368,6.75744096993888,6.857771530754582,6.812503526772585,7.010113056958701,6.726375227832933,6.974424922751471
