Geneid,PD_131_R10_S1_1,PD_131_R10_S2_1,PD_131_R11_S1_1,PD_131_R11_S2_1,PD_131_R12_S1_1,PD_131_R12_S2_1,PD_131_R13_S1_1,PD_131_R13_S2_1,PD_131_R14_S1_1,PD_131_R15_S1_1,PD_131_R16_S1_1,PD_131_R5_S1_1,PD_131_R6_S1_1,PD_131_R7_S1_1,PD_131_R8_S1_1,PD_131_R8_S2_1,PD_131_R9_S1_1,PD_131_R9_S2_1
b0012,0.6854971284412328,0.241968524377622,3.4617372179366,3.7864593890935785,3.7736049293622727,4.143709580659686,4.037524490902419,3.6800387308683344,2.154351574175675,1.6842009396353843,1.856456634540016,1.2397194389231871,0.2572445945565526,1.1339862719711635,0.6747715408604007,0.6947565538313067,0.4688598017597759,0.8326524687097798
b0013,1.148291256463242,1.2108610180682302,1.2715741667426936,1.3002452353156295,1.8468316181058384,0.7888314061079875,1.2936332905164472,0.7884589029561608,1.5418629912273345,1.1247246413685996,1.5296928915385133,0.7657158253566658,1.266274130510658,1.1339862719711635,1.6539030315070598,0.5800383863995969,1.1057086751712828,0.0
b0014,9.452935447498838,9.448627042779355,10.806084518967792,10.732635422646812,10.904926911228554,10.882708280725922,10.866864040553349,10.909859997150708,12.060504740333135,11.435195960653402,11.933095118843871,9.433686563281908,9.170234227404077,9.333147974402252,9.53931039072153,9.660263880398512,9.422978683468209,9.667467297930957
b0015,7.183534324551432,6.964621842737494,9.265437779324955,9.23622101992022,9.31931714222556,9.3801869419557,9.36527625859883,9.466058206143035,9.100340993428937,8.444616751884023,8.87481056838481,6.913118972508516,6.890915698922639,6.802535442760894,7.142171439310966,6.914326035793203,7.0346771527683325,7.063106904666437
b0016,5.511618156155912,4.989960130685181,8.349216529427476,8.34669398676942,8.375178063992086,8.399499811366125,8.516041652378632,8.559555339377184,7.070878721077882,6.377828903068519,6.826672263079426,5.378417205309473,5.108379024585667,5.167942043582984,5.3702241601272815,4.775148203254284,5.148075720844136,4.938659163658971
b0018,5.997208803726095,6.244131780909352,6.518671778043663,6.48959873274333,6.498900515044369,6.62255509102521,6.489850863706693,6.642081959028283,6.778237770819104,6.559976109975716,6.927377342537356,6.293215865199618,6.264749545969919,6.2146250768134585,6.157561700682709,6.533332344865205,6.189555654345858,6.417750263601628
b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0019,8.584978661998724,9.171034059892632,6.686009534700963,6.600919811770703,6.689770585823408,6.738931254177444,6.690056949611195,6.573858441987259,8.462445308821227,8.421259133854962,8.431658729374188,8.860512406623775,8.715514733456502,8.79371928071295,8.678422341623829,9.171031823669132,8.792041998394637,9.225674745346588
b0020,6.401365292995131,6.272508416735185,5.2711167917763975,5.102104752584107,5.12925493307151,5.329010031535777,5.042410254957676,5.274631608272182,6.552487245990932,6.315329745048086,6.4805964914019984,6.403912196412895,6.354619827799623,6.3187272248591135,6.5077406957942365,6.35894204336718,6.351328141382447,6.425204197182596
b0021,3.263406846504938,2.2319715596165137,4.173666745576473,4.219621457475419,4.527448441553302,4.16650769335625,4.162850006888448,4.342308671368007,5.580561034768815,5.39338509223061,5.450080896308176,2.459791402665022,2.9590308289031557,2.43720442750039,3.2668898797556234,2.625229062667446,2.394638821573744,2.7329183568469606
